ID,totalSteps,totalDistance,veryActiveMinutes,fairlyActiveMinutes,lightlyActiveMinutes,sedentaryMinutes,activeMinutes,calories,cluster
1503960366,11910.755102040815,7.717142847423652,37.87755102040816,18.0,220.9387755102041,835.7551020408164,276.81632653061223,1805.142857142857,2
1624580081,5106.061224489796,3.433469390382572,5.775510204081633,3.8979591836734695,141.0612244897959,1264.9795918367347,150.73469387755102,1433.8163265306123,1
1644430081,7780.925,5.658750015497209,10.875,26.9,190.775,1129.95,228.55,2837.575,2
1844505072,2785.0476190476197,1.8414285844635403,0.3095238095238095,1.1666666666666667,122.42857142857144,1160.190476190476,123.9047619047619,1574.7380952380952,1
1927972279,1283.142857142857,0.888809521194725,0.9761904761904762,1.0476190476190477,59.07142857142857,1227.1666666666667,61.095238095238095,2194.8809523809523,1
2022484408,11588.42857142857,8.275238076845804,37.23809523809524,20.38095238095238,257.1428571428572,1096.190476190476,314.7619047619048,2502.928571428572,0
2026352035,4973.142857142857,3.0857142841532115,0.0,0.0,233.5,680.3809523809524,233.5,1489.690476190476,2
2320127002,4122.833333333333,2.7809523556913653,0.9523809523809524,2.0,174.97619047619048,1231.0,177.92857142857142,1659.7619047619048,1
2347167796,9632.5625,6.4137500086217205,12.25,22.0,250.875,676.96875,285.125,2023.6875,2
2873212765,7263.619047619048,4.901666655426934,11.80952380952381,5.738095238095238,297.5,1109.404761904762,315.04761904761904,1852.2142857142856,2
2891001357,773.625,0.6037500053644175,0.0,82.5,168.75,1099.875,251.25,2273.375,1
3372868164,6616.933333333333,4.543333355585735,10.033333333333331,3.9,314.2333333333333,1080.0666666666666,328.1666666666667,1908.8333333333333,2
3977333714,10357.268292682927,7.053902383257705,16.317073170731707,53.51219512195122,185.2439024390244,706.1951219512196,255.0731707317073,1481.3902439024391,2
4020332650,3977.3548387096776,2.853064518001291,4.629032258064516,6.387096774193548,100.41935483870968,1166.225806451613,111.43548387096774,2721.2580645161293,1
4057192912,2009.9714285714283,1.4819999970495703,1.2285714285714286,5.0,46.62857142857143,1344.3142857142857,52.85714285714285,1900.6285714285716,1
4319703577,7422.813953488372,4.993720921622805,4.418604651162791,13.976744186046512,234.32558139534885,748.1627906976744,252.72093023255812,2025.558139534884,2
4388161847,8595.692307692309,6.671538530251917,18.41025641025641,16.17948717948718,182.30769230769232,949.0,216.89743589743588,2829.538461538461,0
4445114986,4662.511111111111,3.1559999956025013,6.2444444444444445,1.511111111111111,206.55555555555557,841.3555555555556,214.3111111111111,2161.688888888889,2
4558609924,7203.023809523809,4.76166666831289,8.904761904761905,10.904761904761903,274.1428571428572,1090.571428571429,293.95238095238096,1978.190476190476,2
4702921684,8392.711111111112,6.809333316485087,4.511111111111111,23.68888888888889,240.0,754.2666666666667,268.2,2917.9333333333334,2
5553957443,8467.880952380952,5.541904788641703,23.571428571428573,14.047619047619047,197.97619047619048,648.6904761904761,235.5952380952381,1851.190476190476,2
5577150313,8385.926829268292,6.276341432478368,85.85365853658537,29.390243902439025,150.4390243902439,730.6585365853658,265.6829268292683,3343.7073170731705,0
6117666160,7363.0,5.5750000351353695,1.2894736842105263,2.5789473684210527,291.39473684210526,814.1315789473684,295.2631578947368,2218.5526315789475,2
6290855005,4615.846153846154,3.4905128295605,4.051282051282051,5.564102564102564,179.2051282051282,1217.7948717948718,188.8205128205128,2488.333333333333,1
6391747486,1336.888888888889,1.0744444661670265,5.111111111111111,0.6666666666666666,34.333333333333336,1261.888888888889,40.11111111111112,1763.111111111111,1
6775888955,3301.2285714285717,2.371999973590885,13.285714285714286,23.65714285714286,61.71428571428572,1227.0285714285717,98.65714285714286,2284.2571428571428,1
6962181067,10690.818181818182,7.238409118218858,26.181818181818183,21.954545454545453,251.1590909090909,641.4545454545455,299.29545454545456,2015.8636363636365,2
7007744171,11550.297297297297,8.226756746704517,34.86486486486486,16.486486486486488,277.6756756756757,1038.4594594594594,329.02702702702703,2560.324324324324,0
7086361926,8391.785714285714,5.68452379528788,37.523809523809526,23.61904761904762,131.45238095238096,863.9285714285714,192.5952380952381,2450.214285714286,0
8053475328,14704.634146341465,11.437804802525328,84.3170731707317,10.097560975609756,152.5609756097561,1137.9024390243903,246.97560975609755,2925.829268292683,0
8253242879,4760.233333333334,3.3890000224113463,14.0,10.866666666666667,92.6,1314.8,117.46666666666668,1649.4666666666667,1
8378563200,8577.285714285714,6.802142898241677,57.595238095238095,10.166666666666666,159.76190476190476,706.8333333333334,227.52380952380952,3408.8809523809523,0
8583815059,6346.615384615385,4.951282015213601,7.82051282051282,18.025641025641026,138.05128205128204,1266.1025641025642,163.89743589743588,2662.128205128205,1
8792009665,2208.325,1.4134999974165114,1.15,4.55,103.275,1016.15,108.975,1993.675,1
8877689391,16263.333333333334,13.292618955884658,65.83333333333333,11.476190476190476,234.66666666666663,1095.642857142857,311.9761904761905,3417.1666666666665,0
